N;N-Inaorig;Proband;Age;Sprache;Expression;Group;TypeDet;Type;PronNP;Character;Function
LL01;NIO1;3;Adults;Mon;sie;1;PP;Pron;Pron;Main;Maintenance
LL02;NIO2;3;Adults;Mon;Ø;1;NSA;null;Pron;Main;Maintenance
LL03;NIO3;3;Adults;Mon;sie;1;PP;Pron;Pron;Main;Maintenance
LL04;NIO4;3;Adults;Mon;Sie;1;PP;Pron;Pron;Main;Maintenance
LL05;NIO5;3;Adults;Mon;Ø;1;NSA;null;Pron;Main;Reintroduction
LL06;NIO6;3;Adults;Mon;sie;1;PP;Pron;Pron;Main;Maintenance
LL07;NIO7;3;Adults;Mon;sie;1;PP;Pron;Pron;Main;Maintenance
LL08;NIO8;3;Adults;Mon;Sie;1;PP;Pron;Pron;Main;Maintenance
LL09;NIO9;3;Adults;Mon;Tim, Max und Bello;1;EN | EN | EN;Name;NP;Main;Reintroduction
LL10;NIO10;3;Adults;Mon;[vor] ihnen;1;PP;Pron;Pron;Main;Maintenance
LL11;NIO12;3;Adults;Mon;die;1;RP;Pron;Pron;Secondary;Maintenance
LL12;NIO13;3;Adults;Mon;sie;1;PP;Pron;Pron;Main;Reintroduction
LL13;NIO14;3;Adults;Mon;die beiden;1;defNP;defNP;NP;Secondary;Reintroduction
LL14;NIO15;3;Adults;Mon;[von] ihnen;1;PP;Pron;Pron;Main;Maintenance
LL15;NIO16;3;Adults;Mon;Ø;1;NSA;null;Pron;Secondary;Maintenance
LL16;NIO17;7;Adults;Mon;Tim, Max und Bello;1;EN | EN | EN;Name;NP;Main;Reintroduction
LL17;NIO18;7;Adults;Mon;Sie;1;PP;Pron;Pron;Main;Reintroduction
LL18;NIO19;7;Adults;Mon;Max;1;EN   ;Name;NP;Main;Reintroduction
LL19;NIO20;7;Adults;Mon;Ø;1;NSA;null;Pron;Main;Maintenance
LL20;;7;Adults;Mon;[vor] ihnen;1;Pron;Pron;Pron;Main;Reintroduction
LL21;NIO21;7;Adults;Mon;Tim ;1;EN;Name;NP;Main;Reintroduction
LL22;NIO22;7;Adults;Mon;[Auf dem Berg vor] ihnen;1;PP;Pron;Pron;Main;Reintroduction
LL23;NIO23;7;Adults;Mon;Tim;1;EN;Name;NP;Main;Reintroduction
LL24;NIO24;7;Adults;Mon;Max;1;EN;Name;NP;Main;Reintroduction
LL25;NIO25;7;Adults;Mon;sie;1;PP;Pron;Pron;Main;Reintroduction
LL26;NIO26;7;Adults;Mon;sie;1;PP;Pron;Pron;Main;Maintenance
LL27;NIO27;7;Adults;Mon;Die beiden Jungs;1;defNP;defNP;NP;Main;Reintroduction
LL28;NIO28;7;Adults;Mon;Tim;1;EN;Name;NP;Main;Reintroduction
LL29;NIO29;7;Adults;Mon;Bello;1;EN;Name;NP;Main;Reintroduction
LL30;NIO30;7;Adults;Mon;den beiden Jungs;1;defNP;defNP;NP;Main;Reintroduction
LL31;NIO31;7;Adults;Mon;Sie;1;PP;Pron;Pron;Main;Maintenance
LL32;NIO32;7;Adults;Mon;Ø;1;NSA;null;Pron;Main;Maintenance
LL33;NIO34;7;Adults;Mon;Die Jungs;1;defNP;defNP;NP;Main;Reintroduction
LL34;NIO35;7;Adults;Mon;sie;1;PP;Pron;Pron;Main;Maintenance
LL35;NIO37;7;Adults;Mon;Ø;1;NSA;null;Pron;Secondary;Maintenance
LL36;NIO38;7;Adults;Mon;Tim und Max;1;EN | EN  ;Name;NP;Main;Maintenance
LL37;NIO39;7;Adults;Mon;Bello;1;EN ;Name;NP;Main;Reintroduction
LL38;NIO40;7;Adults;Mon;sie;1;PP;Pron;Pron;Main;Reintroduction
LL39;NIO41;7;Adults;Mon;der kleinere Schatten;1;defNP;defNP;NP;Secondary;Reintroduction
LL40;NIO43;7;Adults;Mon;Der Kobold;1;defNP;defNP;NP;Secondary;Maintenance
LL41;NIO44;7;Adults;Mon;[wie] der große Troll;1;defNP;defNP;NP;Secondary;Reintroduction
LL42;NIO45;7;Adults;Mon;er;1;PP;Pron;Pron;Secondary;Maintenance
LL43;NIO46;7;Adults;Mon;[zu] den Jungs;1;defNP;defNP;NP;Main;Reintroduction
LL44;NIO47;7;Adults;Mon;Max;1;EN;Name;NP;Main;Reintroduction
LL45;GL1;7;Adults;Mon;Tim;1;EN;Name;NP;Main;Reintroduction
LL46;NIO48;7;Adults;Mon;der Kobold ;1;defNP;defNP;NP;Secondary;Reintroduction
LL47;NIO49;7;Adults;Mon;beide;1;IP;Pron;Pron;Main;Reintroduction
LL48;NIO50;7;Adults;Mon;er und der Troll;1;PP | def NP;defNP;NP;Secondary;Reintroduction
LL49;NIO51;7;Adults;Mon;der;1;RP;Pron;Pron;Secondary;Reintroduction
LL50;NIO52;7;Adults;Mon;[auf] die Jungs und den Hund;1;defNP | defNP;defNP;NP;Main;Reintroduction
LL51;NIO53;7;Adults;Mon;Tim;1;EN;Name;NP;Main;Reintroduction
LL52;NIO54;7;Adults;Mon;er und seine Freunde;1;PP | def NP;defNP;NP;Main;Reintroduction
LL53;NIO55;7;Adults;Mon;sie;1;PP;Pron;Pron;Main;Maintenance
LL54;NIO56;7;Adults;Mon;Die Kreaturen;1;defNP;defNP;NP;Secondary;Reintroduction
LL55;NIO57;7;Adults;Mon;ihnen;1;PP;Pron;Pron;Main;Maintenance
LL56;NIO58;7;Adults;Mon;Sie;1;PP;Pron;Pron;Main;Maintenance
LL57;NIO59;7;Adults;Mon;sie;1;PP;Pron;Pron;Main;Maintenance
LL58;NIO60;16;Adults;Mon;Sie;1;PP;Pron;Pron;Main;Maintenance
LL59;NIO61;16;Adults;Mon;Sie;1;PP;Pron;Pron;Main;Maintenance
LL60;NIO62;16;Adults;Mon;Tim und Max;1;EN | EN;Name;NP;Main;Reintroduction
LL61;NIO63;16;Adults;Mon;den Wachhund;1;defNP;defNP;NP;Main;Reintroduction
LL62;NIO64;16;Adults;Mon;Sie;1;PP;Pron;Pron;Main;Maintenance
LL63;NIO65;16;Adults;Mon;sie;1;PP;Pron;Pron;Main;Maintenance
LL64;NIO66;16;Adults;Mon;Max;1;EN;Name;NP;Main;Reintroduction
LL65;NIO67;16;Adults;Mon;Ø;1;NSA;null;Pron;Main;Maintenance
LL66;NIO68;16;Adults;Mon;Sie ;1;PP;Pron;Pron;Main;Reintroduction
LL67;NIO69;16;Adults;Mon;Ø;1;NSA;null;Pron;Main;Maintenance
LL68;NIO70;16;Adults;Mon;sie;1;PP;Pron;Pron;Main;Reintroduction
LL69;NIO71;16;Adults;Mon;Max, Tim und Bello;1;EN | EN | EN;Name;NP;Main;Reintroduction
LL70;NIO72;16;Adults;Mon;Die große Gestallt;1;defNP;defNP;NP;Secondary;Reintroduction
LL71;NIO73;16;Adults;Mon;sie;1;PP;Pron;Pron;Main;Reintroduction
LL72;NIO74;16;Adults;Mon;Die zwei gruseligen Gestalten;1;defNP;defNP;NP;Secondary;Reintroduction
LL73;NIO75;16;Adults;Mon;Sie;1;PP;Pron;Pron;Secondary;Maintenance
LL74;NIO76;16;Adults;Mon;sie;1;PP;Pron;Pron;Secondary;Maintenance
LL75;NIO77;16;Adults;Mon;Max und Tim;1;EN | EN;Name;NP;Main;Reintroduction
LL76;NIO78;16;Adults;Mon;sie;1;PP;Pron;Pron;Main;Maintenance
LL77;NIO79;16;Adults;Mon;Bello;1;EN;Name;NP;Main;Reintroduction
LL78;NIO80;16;Adults;Mon;Er;1;PP;Pron;Pron;Main;Maintenance
LL79;;16;Adults;Mon;die Gestalten;1;defNP;defNP;NP;Secondary;Reintroduction
LL80;NIO81;16;Adults;Mon;Max und Tim ;1;EN | EN;Name;NP;Main;Reintroduction
LL81;NIO82;16;Adults;Mon;Sie;1;PP;Pron;Pron;Main;Maintenance
LL82;NIO83;16;Adults;Mon;die Monster;1;defNP;defNP;NP;Secondary;Reintroduction
LL83;NIO84;16;Adults;Mon;[mit] Bello ;1;EN;Name;NP;Main;Reintroduction
LL84;NIO85;21;Adults;Mon;die beiden Freunde und der Hund Bello;1;defNP | defNP+EN;defNP;NP;Main;Maintenance
LL85;NIO86;21;Adults;Mon;sie;1;PP;Pron;Pron;Main;Reintroduction
LL86;NIO87;21;Adults;Mon;Die Jungs;1;defNP;defNP;NP;Main;Reintroduction
LL87;NIO88;21;Adults;Mon;sie;1;PP;Pron;Pron;Main;Maintenance
LL88;NIO90;21;Adults;Mon;Sie;1;PP;Pron;Pron;Main;Maintenance
LL89;NIO91;21;Adults;Mon;Ø;1;NSA;null;Pron;Main;Maintenance
LL90;NIO92;21;Adults;Mon;Ø;1;NSA;null;Pron;Main;Maintenance
LL91;NIO93;21;Adults;Mon;Tim;1;EN;Name;NP;Main;Reintroduction
LL92;NIO94;21;Adults;Mon;Sie;1;PP;Pron;Pron;Main;Reintroduction
LL93;NIO95;21;Adults;Mon;sie;1;PP;Pron;Pron;Main;Maintenance
LL94;NIO96;21;Adults;Mon;Ø;1;NSA;null;Pron;Main;Maintenance
LL95;NIO97;21;Adults;Mon;Sie;1;PP;Pron;Pron;Main;Maintenance
LL96;NIO98;21;Adults;Mon;Sie;1;PP;Pron;Pron;Main;Reintroduction
LL97;NIO99;21;Adults;Mon;sie;1;PP;Pron;Pron;Main;Reintroduction
LL98;NIO100;21;Adults;Mon;sie;1;PP;Pron;Pron;Main;Maintenance
LL99;NIO101;21;Adults;Mon;sie;1;PP;Pron;Pron;Main;Maintenance
LL100;NIO102;21;Adults;Mon;Er;1;PP;Pron;Pron;Secondary;Reintroduction
LL101;NIO103;21;Adults;Mon;die beiden Freunde u;1;defNP;defNP;NP;Main;Reintroduction
LL102;NIO104;21;Adults;Mon;die zwei Gestalten;1;defNP;defNP;NP;Secondary;Reintroduction
LL103;NIO105;21;Adults;Mon;[auf] die beiden Jungs;1;defNP;defNP;NP;Main;Maintenance
LL104;NIO106;21;Adults;Mon;sie;1;PP;Pron;Pron;Main;Reintroduction
LL105;NIO107;21;Adults;Mon;sie;1;PP;Pron;Pron;Main;Maintenance
LL106;NIO108;21;Adults;Mon;Bello;1;EN;Name;NP;Main;Reintroduction
LL107;NIO109;21;Adults;Mon;er;1;PP;Pron;Pron;Main;Maintenance
LL108;NIO110;21;Adults;Mon;Ø;1;NSA;null;Pron;Main;Maintenance
LL109;NIO111;21;Adults;Mon;Die zwei Wesen;1;defNP;defNP;NP;Secondary;Reintroduction
LL110;NIO112;21;Adults;Mon;Ø;1;NSA;null;Pron;Secondary;Maintenance
LL111;NIO113;21;Adults;Mon;Die zwei Jungs;1;defNP;defNP;NP;Main;Reintroduction
LL112;NIO114;21;Adults;Mon;Ø;1;NSA;null;Pron;Main;Maintenance
LL113;;21;Adults;Mon;sie;1;PP;Pron;Pron;Main;Maintenance
LL114;NIO115;21;Adults;Mon;sie;1;PP;Pron;Pron;Main;Maintenance
LL115;NIO116;21;Adults;Mon;Tim;1;EN;Name;NP;Main;Reintroduction
LL116;NIO117;21;Adults;Mon;Tim;1;EN;Name;NP;Main;Maintenance
LL117;NIO118;21;Adults;Mon;er;1;PP;Pron;Pron;Main;Maintenance
LL118;NIO119;21;Adults;Mon;Tim;1;EN;Name;NP;Main;Reintroduction
LL119;NIO120;31;Adults;Mon;Tim, Max und ihr Vierbeiner Bello;1;EN | EN | defNP+EN;Name;NP;Main;Maintenance
LL120;NIO121;31;Adults;Mon;sie;1;PP;Pron;Pron;Main;Maintenance
LL121;NIO122;31;Adults;Mon;sie;1;PP;Pron;Pron;Main;Maintenance
LL122;NIO123;31;Adults;Mon;sie;1;PP;Pron;Pron;Main;Maintenance
LL123;NIO124;31;Adults;Mon;sie;1;PP;Pron;Pron;Main;Maintenance
LL124;NIO125;31;Adults;Mon;Sie;1;PP;Pron;Pron;Main;Reintroduction
LL125;NIO126;31;Adults;Mon;ihnen;1;PP;Pron;Pron;Main;Reintroduction
LL126;NIO127;31;Adults;Mon;sie;1;PP;Pron;Pron;Main;Reintroduction
LL127;NIO128;31;Adults;Mon;sie;1;PP;Pron;Pron;Main;Maintenance
LL128;NIO129;31;Adults;Mon;Max;1;EN;Name;NP;Main;Reintroduction
LL129;NIO130;31;Adults;Mon;Er;1;PP;Pron;Pron;Main;Maintenance
LL130;NIO131;31;Adults;Mon;Ø;1;NSA;null;Pron;Main;Maintenance
LL131;NIO132;31;Adults;Mon;Tim;1;EN;Name;NP;Main;Reintroduction
LL132;NIO133;31;Adults;Mon;er;1;PP;Pron;Pron;Main;Maintenance
LL133;NIO134;31;Adults;Mon;Ø;1;NSA;null;Pron;Main;Maintenance
LL134;NIO135;31;Adults;Mon;Sie;1;PP;Pron;Pron;Main;Reintroduction
LL135;NIO136;31;Adults;Mon;Bello;1;EN;Name;NP;Main;Reintroduction
LL136;NIO137;31;Adults;Mon;Ø;1;NSA;null;Pron;Main;Maintenance
LL137;NIO138;31;Adults;Mon;Ø;1;NSA;null;Pron;Main;Maintenance
LL138;NIO139;31;Adults;Mon;Max und Tim;1;EN | EN;Name;NP;Main;Reintroduction
LL139;NIO140;31;Adults;Mon;[zu] Bello;1;EN;Name;NP;Main;Maintenance
LL140;NIO141;31;Adults;Mon;Ø;1;NSA;null;Pron;Main;Maintenance
LL141;NIO142;31;Adults;Mon;die Monster;1;defNP;defNP;NP;Secondary;Reintroduction
LL142;NIO143;31;Adults;Mon;die;1;RP;Pron;Pron;Secondary;Maintenance
LL143;NIO144;31;Adults;Mon;Ø;1;NSA;null;Pron;Secondary;Maintenance
LL144;NIO145;31;Adults;Mon;Max und Tim;1;EN | EN;Name;NP;Main;Reintroduction
LL145;NIO146;31;Adults;Mon;die beiden Gestalten;1;defNP;defNP;NP;Secondary;Reintroduction
LL146;NIO147;31;Adults;Mon;sie;1;PP;Pron;Pron;Secondary;Maintenance
LL147;NIO148;31;Adults;Mon;Sie;1;PP;Pron;Pron;Secondary;Maintenance
LL148;NIO149;31;Adults;Mon;sie;1;PP;Pron;Pron;Secondary;Maintenance
LL149;NIO150;31;Adults;Mon;Max und Tim;1;EN | EN;Name;NP;Main;Reintroduction
LL150;NIO151;31;Adults;Mon;sie;1;PP;Pron;Pron;Main;Maintenance
LL151;NIO152;31;Adults;Mon;Max und Tim;1;EN | EN;Name;NP;Main;Reintroduction
LL152;NIO153;31;Adults;Mon;Ø;1;NSA;null;Pron;Main;Maintenance
LL153;NIO154;31;Adults;Mon;Die beiden Monster;1;defNP;defNP;NP;Secondary;Reintroduction
LL154;NIO155;31;Adults;Mon;sie;1;PP;Pron;Pron;Secondary;Maintenance
LL155;NIO156;31;Adults;Mon;Der grüne Shrek;1;defNP;defNP;NP;Secondary;Reintroduction
LL156;NIO157;31;Adults;Mon;Max;1;EN;Name;NP;Main;Reintroduction
LL157;NIO158;31;Adults;Mon;ihm;1;PP;Pron;Pron;Secondary;Reintroduction
LL158;NIO159;38;Adults;Mon;sie;1;PP;Pron;Pron;Main;Maintenance
LL159;NIO160;38;Adults;Mon;sie;1;PP;Pron;Pron;Main;Maintenance
LL160;NIO161;38;Adults;Mon;Ø;1;NSA;null;Pron;Main;Maintenance
LL161;NIO162;38;Adults;Mon;die Freunde;1;defNP;defNP;NP;Main;Reintroduction
LL162;NIO163;38;Adults;Mon;Sie;1;PP;Pron;Pron;Main;Maintenance
LL163;GL2;38;Adults;Mon;Tim;1;EN;Name;NP;Main;Reintroduction
LL164;GL3;38;Adults;Mon;Max ;1;EN;Name;NP;Main;Reintroduction
LL165;NIO164;38;Adults;Mon;Tim;1;EN;Name;NP;Main;Maintenance
LL166;NIO165;38;Adults;Mon;Ø;1;NSA;null;Pron;Main;Maintenance
LL167;NIO166;38;Adults;Mon;sie;1;PP;Pron;Pron;Main;Reintroduction
LL168;NIO167;38;Adults;Mon;Max und Tim ;1;EN | EN ;Name;NP;Main;Maintenance
LL169;NIO168;38;Adults;Mon;Sie;1;PP;Pron;Pron;Main;Maintenance
LL170;NIO169;38;Adults;Mon;Ø;1;NSA;null;Pron;Main;Maintenance
LL171;NIO170;38;Adults;Mon;Sie;1;PP;Pron;Pron;Main;Maintenance
LL172;NIO171;38;Adults;Mon;sie;1;PP;Pron;Pron;Main;Maintenance
LL173;NIO172;38;Adults;Mon;diese Gestalten;1;defNP;defNP;NP;Secondary;Reintroduction
LL174;NIO173;38;Adults;Mon;Sie;1;PP;Pron;Pron;Secondary;Maintenance
LL175;NIO174;38;Adults;Mon;Max und Tim;1;EN | EN ;Name;NP;Main;Reintroduction
LL176;NIO175;38;Adults;Mon;sie;1;PP;Pron;Pron;Main;Maintenance
LL177;NIO176;38;Adults;Mon;Ø;1;NSA;null;Pron;Main;Maintenance
LL178;NIO177;38;Adults;Mon;Bello;1;EN;Name;NP;Main;Reintroduction
LL179;NIO178;38;Adults;Mon;Er;1;PP;Pron;Pron;Main;Maintenance
LL180;NIO179;38;Adults;Mon;Ø;1;NSA;null;Pron;Main;Maintenance
LL181;NIO180;38;Adults;Mon;die Unbekannten Kreaturen;1;defNP;defNP;NP;Secondary;Reintroduction
LL182;GL4;38;Adults;Mon;Max und Tim ;1;EN | EN;Name;NP;Main;Reintroduction
LL183;NIO181;38;Adults;Mon;die beiden Freunde;1;defNP;defNP;NP;Main;Reintroduction
LL184;NIO182;38;Adults;Mon;sie;1;PP;Pron;Pron;Main;Reintroduction
LL185;NIO183;41;Adults;Mon;Die beiden Jungen ;1;defNP;defNP;NP;Main;Reintroduction
LL186;NIO184;41;Adults;Mon;die beiden;1;defNP;defNP;NP;Main;Maintenance
LL187;NIO185;41;Adults;Mon;diese  ;1;DP;Pron;Pron;Secondary;Maintenance
LL188;NIO186;41;Adults;Mon;sie;1;PP;Pron;Pron;Secondary;Maintenance
LL189;NIO187;41;Adults;Mon;Tim und Max;1;EN | EN;Name;NP;Main;Reintroduction
LL190;NIO188;41;Adults;Mon;sie;1;PP;Pron;Pron;Main;Maintenance
LL191;NIO189;41;Adults;Mon;die Fremdlinge ;1;defNP;defNP;NP;Secondary;Reintroduction
LL192;NIO190;41;Adults;Mon;Ø;1;NSA;null;Pron;Main;Maintenance
LL193;NIO191;41;Adults;Mon;der Hund Bello;1;defNP+EN;Name;NP;Main;Reintroduction
LL194;NIO192;41;Adults;Mon;den Troll und den Elfen;1;defNP | defNP;defNP;NP;Secondary;Reintroduction
LL195;NIO193;41;Adults;Mon;Ø;1;NSA;null;Pron;Main;Maintenance
LL196;NIO194;41;Adults;Mon;diese;1;DP;Pron;Pron;Secondary;Maintenance
LL197;NIO195;41;Adults;Mon;Ø;1;NSA;null;Pron;Main;Maintenance
LL198;NIO196;41;Adults;Mon;[zu] den beiden Jungen;1;defNP;defNP;NP;Main;Reintroduction
LL199;NIO197;41;Adults;Mon;Diese;1;DP;Pron;Pron;Main;Maintenance
LL200;NIO198;41;Adults;Mon;Ø;1;NSA;null;Pron;Main;Maintenance
LL201;NIO199;41;Adults;Mon;Der Elf und der Troll;1;defNP | defNP;defNP;NP;Secondary;Reintroduction
LL202;NIO200;44;Adults;Mon;Sie;1;PP;Pron;Pron;Main;Maintenance
LL203;NIO201;44;Adults;Mon;Ø;1;NSA;null;Pron;Main;Maintenance
LL204;NIO202;44;Adults;Mon;Tims Hund Bello;1;defNP+EN;Name;NP;Main;Reintroduction
LL205;NIO203;44;Adults;Mon;Tim und Max;1;EN | EN;Name;NP;Main;Reintroduction
LL206;NIO204;44;Adults;Mon;Max;1;EN;Name;NP;Main;Reintroduction
LL207;NIO205;44;Adults;Mon;Bello;1;EN;Name;NP;Main;Reintroduction
LL208;NIO206;44;Adults;Mon;die beiden Jungs;1;defNP;defNP;NP;Main;Reintroduction
LL209;NIO207;44;Adults;Mon;sie;1;PP;Pron;Pron;Main;Reintroduction
LL210;NIO208;44;Adults;Mon;die drei;1;defNP;defNP;NP;Main;Maintenance
LL211;NIO209;44;Adults;Mon;[auf] sie;1;PP;Pron;Pron;Main;Maintenance
LL212;NIO210;44;Adults;Mon;Er;1;PP;Pron;Pron;Secondary;Maintenance
LL213;NIO211;44;Adults;Mon;sie;1;PP;Pron;Pron;Main;Reintroduction
LL214;NIO212;44;Adults;Mon;Bello;1;EN;Name;NP;Main;Reintroduction
LL215;NIO213;44;Adults;Mon;die Jungs;1;defNP;defNP;NP;Main;Reintroduction
LL216;NIO214;44;Adults;Mon;Ø;1;NSA;null;Pron;Main;Maintenance
LL217;NIO215;44;Adults;Mon;[wie] Bello;1;EN;Name;NP;Main;Reintroduction
LL218;NIO216;44;Adults;Mon;Bello;1;EN;Name;NP;Main;Maintenance
LL219;NIO217;44;Adults;Mon;Ø;1;NSA;null;Pron;Main;Maintenance
LL220;NIO218;44;Adults;Mon;sein Herrchen;1;defNP;defNP;NP;Main;Reintroduction
LL221;NIO219;44;Adults;Mon;er;1;PP;Pron;Pron;Main;Maintenance
LL222;NIO220;44;Adults;Mon;Ø;1;NSA;null;Pron;Main;Maintenance
LL223;NIO221;44;Adults;Mon;die zwei fremden Gestalten;1;defNP;defNP;NP;Secondary;Reintroduction
LL224;NIO222;44;Adults;Mon;Tim und Max ;1;EN | EN ;Name;NP;Main;Reintroduction
LL225;NIO223;44;Adults;Mon;[für] Bello;1;EN;Name;NP;Main;Maintenance
LL226;NIO224;47;Adults;Mon;Die beiden Jungen ;1;defNP;defNP;NP;Main;Reintroduction
LL227;NIO225;47;Adults;Mon;Tim und Max;1;EN | EN;Name;NP;Main;Reintroduction
LL228;NIO226;47;Adults;Mon;Sie;1;PP;Pron;Pron;Main;Maintenance
LL229;NIO227;47;Adults;Mon;[von] Hund Bello;1;defNP+EN;Name;NP;Main;Reintroduction
LL230;NIO228;47;Adults;Mon;der;1;RP;Pron;Pron;Main;Maintenance
LL231;NIO229;47;Adults;Mon;Tim;1;EN;Name;NP;Main;Reintroduction
LL232;NIO230;47;Adults;Mon;Max;1;EN;Name;NP;Main;Reintroduction
LL233;NIO231;47;Adults;Mon;Tim;1;EN;Name;NP;Main;Reintroduction
LL234;NIO232;47;Adults;Mon;er;1;PP;Pron;Pron;Main;Maintenance
LL235;NIO233;47;Adults;Mon;Max;1;EN;Name;NP;Main;Reintroduction
LL236;NIO234;47;Adults;Mon;die beiden;1;defNP;defNP;NP;Main;Reintroduction
LL237;NIO235;47;Adults;Mon;May;1;EN;Name;NP;Main;Reintroduction
LL238;NIO236;47;Adults;Mon;Tim;1;EN;Name;NP;Main;Reintroduction
LL239;NIO237;47;Adults;Mon;Die beiden;1;defNP;defNP;NP;Main;Reintroduction
LL240;NIO238;47;Adults;Mon;[hinter] Bello;1;EN;Name;NP;Main;Reintroduction
LL241;NIO239;47;Adults;Mon;sie;1;PP;Pron;Pron;Main;Maintenance
LL242;NIO240;47;Adults;Mon;die beiden Jungs;1;defNP;defNP;NP;Main;Reintroduction
LL243;NIO241;47;Adults;Mon;Bello;1;EN;Name;NP;Main;Reintroduction
LL244;NIO242;47;Adults;Mon;Er;1;PP;Pron;Pron;Main;Maintenance
LL245;NIO243;47;Adults;Mon;Olaf;1;EN;Name;NP;Secondary;Reintroduction
LL246;NIO244;47;Adults;Mon;Ø;1;NSA;null;Pron;Secondary;Maintenance
LL247;NIO245;47;Adults;Mon;er;1;PP;Pron;Pron;Secondary;Maintenance
LL248;NIO246;47;Adults;Mon;Sein Freund Gerd;1;defNP+EN;Name;NP;Secondary;Reintroduction
LL249;NIO247;47;Adults;Mon;Die beiden;1;defNP;defNP;NP;Secondary;Reintroduction
LL250;NIO248;47;Adults;Mon;sie;1;PP;Pron;Pron;Secondary;Maintenance
LL251;NIO249;47;Adults;Mon;Bello;1;EN;Name;NP;Main;Reintroduction
LL252;NIO250;47;Adults;Mon;die beiden;1;defNP;defNP;NP;Secondary;Reintroduction
LL253;NIO251;47;Adults;Mon;Er;1;PP;Pron;Pron;Main;Maintenance
LL254;NIO252;47;Adults;Mon;Ø;1;NSA;null;Pron;Main;Maintenance
LL255;;47;Adults;Mon;er;1;PP;Pron;Pron;Main;Maintenance
LL256;NIO253;49;Adults;Mon;Tim, Max und Bello;1;EN | EN | EN;Name;NP;Main;Maintenance
LL257;NIO254;49;Adults;Mon;sie;1;PP;Pron;Pron;Main;Reintroduction
LL258;NIO255;49;Adults;Mon;Sie;1;PP;Pron;Pron;Main;Maintenance
LL259;NIO256;49;Adults;Mon;Tim;1;EN;Name;NP;Main;Reintroduction
LL260;NIO257;49;Adults;Mon;er;1;PP;Pron;Pron;Main;Maintenance
LL261;NIO258;49;Adults;Mon;Max;1;EN;Name;NP;Main;Reintroduction
LL262;NIO259;49;Adults;Mon;sie;1;PP;Pron;Pron;Main;Reintroduction
LL263;NIO260;49;Adults;Mon;sie;1;PP;Pron;Pron;Main;Maintenance
LL264;NIO261;49;Adults;Mon;sie;1;PP;Pron;Pron;Main;Maintenance
LL265;NIO262;49;Adults;Mon;[vor] Tim und seinen Begleitern;1;EN | defNP;Name;NP;Main;Reintroduction
LL266;GL5;49;Adults;Mon;Tim;1;EN;Name;NP;Main;Maintenance
LL267;NIO263;49;Adults;Mon;Max;1;EN;Name;NP;Main;Reintroduction
LL268;NIO264;49;Adults;Mon;sie;1;PP;Pron;Pron;Main;Reintroduction
LL269;NIO265;49;Adults;Mon;Bello;1;EN;Name;NP;Main;Reintroduction
LL270;NIO266;49;Adults;Mon;Den beiden Freunden;1;defNP;defNP;NP;Main;Reintroduction
LL271;NIO267;49;Adults;Mon;dem Hund;1;defNP;defNP;NP;Main;Reintroduction
LL272;NIO268;49;Adults;Mon;sie;1;PP;Pron;Pron;Main;Maintenance
LL273;NIO269;49;Adults;Mon;ihn ;1;PP;Pron;Pron;Main;Maintenance
LL274;NIO270;49;Adults;Mon;sie;1;PP;Pron;Pron;Main;Maintenance
LL275;NIO271;49;Adults;Mon;Sie;1;PP;Pron;Pron;Main;Reintroduction
LL276;NIO272;49;Adults;Mon;Ø;1;NSA;null;Pron;Main;Maintenance
LL277;GL6;49;Adults;Mon;Tim;1;EN;Name;NP;Main;Reintroduction
LL278;NIO273;49;Adults;Mon;Ø;1;NSA;null;Pron;Main;Maintenance
LL279;NIO274;49;Adults;Mon;er;1;PP;Pron;Pron;Main;Maintenance
LL280;NIO275;49;Adults;Mon;Er;1;PP;Pron;Pron;Main;Reintroduction
LL281;NIO276;49;Adults;Mon;Max und Bello;1;EN | EN;Name;NP;Main;Reintroduction
LL282;NIO277;49;Adults;Mon;sie;1;PP;Pron;Pron;Main;Maintenance
LL283;NIO278;49;Adults;Mon;[Vor] ihnen;1;PP;Pron;Pron;Main;Maintenance
LL284;NIO280;49;Adults;Mon;sie;1;PP;Pron;Pron;Main;Maintenance
LL285;NIO281;49;Adults;Mon;sie;1;PP;Pron;Pron;Secondary;Maintenance
LL286;NIO283;49;Adults;Mon;[neben] ihm;1;PP;Pron;Pron;Secondary;Maintenance
LL287;NIO285;49;Adults;Mon;Max und Tim ;1;EN | EN ;Name;NP;Main;Reintroduction
LL288;NIO286;49;Adults;Mon;Bello;1;EN;Name;NP;Main;Reintroduction
LL289;NIO287;49;Adults;Mon;sie;1;PP;Pron;Pron;Main;Reintroduction
LL290;NIO288;49;Adults;Mon;Die beiden Gestalten;1;defNP;defNP;NP;Secondary;Reintroduction
LL291;NIO289;49;Adults;Mon;sie;1;PP;Pron;Pron;Main;Maintenance
LL292;NIO290;49;Adults;Mon;Ø;1;NSA;null;Pron;Secondary;Maintenance
LL293;NIO291;49;Adults;Mon;ihre Besucher;1;defNP;defNP;NP;Main;Maintenance
LL294;NIO292;49;Adults;Mon;die Jungs und der Hund;1;defNP | defNP;defNP;NP;Main;Maintenance
LL295;NIO293;49;Adults;Mon;der grüne Troll;1;defNP;defNP;NP;Secondary;Reintroduction
LL296;NIO294;49;Adults;Mon;Das Männchen mit den Fledermausohren ;1;defNP;defNP;NP;Secondary;Reintroduction
